Network,Address,Contract Name,Method,Role,Wallet,Identity
Ethereum,0x4274cD7277C7bb0806Bd5FE84b9aDAE466a8DA0a,YUSD,addBlackList,onlyOwner,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Ethereum,0x4274cD7277C7bb0806Bd5FE84b9aDAE466a8DA0a,YUSD,removeBlackList,onlyOwner,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Ethereum,0x4AA8949bb47da4b4F27345404Ba1e5E7EA90bdb3,sJUSD,setCooldownDuration,ADMIN_ROLE,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Ethereum,0x4AA8949bb47da4b4F27345404Ba1e5E7EA90bdb3,sJUSD,setInstantUnstakingFee,ADMIN_ROLE,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Ethereum,0x4AA8949bb47da4b4F27345404Ba1e5E7EA90bdb3,sJUSD,setInsuranceFund,ADMIN_ROLE,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Ethereum,0x4AA8949bb47da4b4F27345404Ba1e5E7EA90bdb3,sJUSD,initializeV2,ADMIN_ROLE,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Ethereum0x4AA8949bb47da4b4F27345404Ba1e5E7EA90bdb3,sJUSD,rescueTokens,DEFAULT_ADMIN_ROLE,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Ethereum,0xfE0ccc9942E98C963Fe6b4e5194EB6e3Baa4cb64,sYUSD,setCooldownDuration,ADMIN_ROLE,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Ethereum,0xfE0ccc9942E98C963Fe6b4e5194EB6e3Baa4cb64,sYUSD,setInstantUnstakingFee,ADMIN_ROLE,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Ethereum,0xfE0ccc9942E98C963Fe6b4e5194EB6e3Baa4cb64,sYUSD,setInsuranceFund,ADMIN_ROLE,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Ethereum,0xfE0ccc9942E98C963Fe6b4e5194EB6e3Baa4cb64,sYUSD,initializeV2,ADMIN_ROLE,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Ethereum,0xfE0ccc9942E98C963Fe6b4e5194EB6e3Baa4cb64,sYUSD,rescueTokens,DEFAULT_ADMIN_ROLE,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Ethereum,0xAF12b0Ae5A72D7b8A8eC675f3E76E2Db56143565,YUSDMintBurnOFTAdapter,setPeer,onlyOwner,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Ethereum,0xAF12b0Ae5A72D7b8A8eC675f3E76E2Db56143565,YUSDMintBurnOFTAdapter,setDelegate,onlyOwner,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Ethereum,0xAF12b0Ae5A72D7b8A8eC675f3E76E2Db56143565,YUSDMintBurnOFTAdapter,setMsgInspector,onlyOwner,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Ethereum,0x1a7cde558d318052add800ca30dc7464920b41fc,sYUSDOFTAdapter,setPeer,onlyOwner,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Ethereum,0x1a7cde558d318052add800ca30dc7464920b41fc,sYUSDOFTAdapter,setDelegate,onlyOwner,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Ethereum,0x1a7cde558d318052add800ca30dc7464920b41fc,sYUSDOFTAdapter,setMsgInspector,onlyOwner,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Ethereum,0x5b35fCA1874083000A6eF64fF27C891f311282a9,ProxyAdmin (sYUSD),upgrade,owner,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Ethereum,0x5b35fCA1874083000A6eF64fF27C891f311282a9,ProxyAdmin (sYUSD),upgradeAndCall,owner,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Ethereum,0x5b35fCA1874083000A6eF64fF27C891f311282a9,ProxyAdmin (sYUSD),changeProxyAdmin,owner,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Ethereum,0x133c5265661db6ba52d3cb312227779231b4a147,ProxyAdmin (sJUSD),upgrade,owner,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Ethereum,0x133c5265661db6ba52d3cb312227779231b4a147,ProxyAdmin (sJUSD),upgradeAndCall,owner,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Ethereum,0x133c5265661db6ba52d3cb312227779231b4a147,ProxyAdmin (sJUSD),changeProxyAdmin,owner,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
BNB Smart Chain,0xAB3dBcD9B096C3fF76275038bf58eAC10D22C61f,YUSD,setMinter,onlyOwner,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
BNB Smart Chain,0xAB3dBcD9B096C3fF76275038bf58eAC10D22C61f,YUSD,addBlackList,onlyOwner,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
BNB Smart Chain,0xAB3dBcD9B096C3fF76275038bf58eAC10D22C61f,YUSD,removeBlackList,onlyOwner,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
BNB Smart Chain,0x539e46827c37A3ef11c7cE521CC56B4d59E602e3,YUSDMintBurnOFTAdapter,setPeer,onlyOwner,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
BNB Smart Chain,0x539e46827c37A3ef11c7cE521CC56B4d59E602e3,YUSDMintBurnOFTAdapter,setDelegate,onlyOwner,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
BNB Smart Chain,0x539e46827c37A3ef11c7cE521CC56B4d59E602e3,YUSDMintBurnOFTAdapter,setMsgInspector,onlyOwner,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
BNB Smart Chain,0x85636BF94EA95c32e945b0db30A7CDc614F2691e,sYUSDOFT,setPeer,onlyOwner,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
BNB Smart Chain,0x85636BF94EA95c32e945b0db30A7CDc614F2691e,sYUSDOFT,setDelegate,onlyOwner,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
BNB Smart Chain,0x85636BF94EA95c32e945b0db30A7CDc614F2691e,sYUSDOFT,setMsgInspector,onlyOwner,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
BNB Smart Chain,0xB9f1E8417ABaedF6Fd838212267cA8260c4ca9da,AegisConfig,whitelistAddress,onlyOperator,0x4a09579f3f07C474436eCbe6c4D4fF4111795650,Server Trusted Signer
BNB Smart Chain,0xB9f1E8417ABaedF6Fd838212267cA8260c4ca9da,AegisConfig,enableWhitelist,onlyOwner,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
BNB Smart Chain,0xB9f1E8417ABaedF6Fd838212267cA8260c4ca9da,AegisConfig,disableWhitelist,onlyOwner,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
BNB Smart Chain,0xB9f1E8417ABaedF6Fd838212267cA8260c4ca9da,AegisConfig,setTrustedSigner,onlyOwner,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
BNB Smart Chain,0xB9f1E8417ABaedF6Fd838212267cA8260c4ca9da,AegisConfig,setOperator,onlyOwner,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
BNB Smart Chain,0x588FD039cAdc77ec85d25a072582624CA8d8cF15,AegisOracle,updateYUSDPrice,onlyOperator,0x4a09579f3f07C474436eCbe6c4D4fF4111795650,Server Trusted Signer
BNB Smart Chain,0x588FD039cAdc77ec85d25a072582624CA8d8cF15,AegisOracle,setOperator,onlyOwner,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
BNB Smart Chain,0x02bf8f0e046F471709E578b1E633077096ce65CF,AegisMinting,approveRedeemRequest,FUNDS_MANAGER_ROLE,0x32Bd61608702AA0dCc7C205404B05CEa2221b3ce 0x0b241d2f1a060feae6968f7ced3221d4ab29d865,Alex Maslennikov
BNB Smart Chain,0x02bf8f0e046F471709E578b1E633077096ce65CF,AegisMinting,rejectRedeemRequest,FUNDS_MANAGER_ROLE,0x32Bd61608702AA0dCc7C205404B05CEa2221b3ce 0x0b241d2f1a060feae6968f7ced3221d4ab29d865,Alex Maslennikov
BNB Smart Chain,0x02bf8f0e046F471709E578b1E633077096ce65CF,AegisMinting,mintForCrossChain,onlyCrossChainOperator,0xAF12b0Ae5A72D7b8A8eC675f3E76E2Db56143565,YUSDMintBurnOFTAdapter
BNB Smart Chain,0x02bf8f0e046F471709E578b1E633077096ce65CF,AegisMinting,burnForCrossChain,onlyCrossChainOperator,0xAF12b0Ae5A72D7b8A8eC675f3E76E2Db56143565,YUSDMintBurnOFTAdapter
BNB Smart Chain,0x02bf8f0e046F471709E578b1E633077096ce65CF,AegisMinting,depositIncome,FUNDS_MANAGER_ROLE,0x32Bd61608702AA0dCc7C205404B05CEa2221b3ce 0x0b241d2f1a060feae6968f7ced3221d4ab29d865,Alex Maslennikov
BNB Smart Chain,0x02bf8f0e046F471709E578b1E633077096ce65CF,AegisMinting,transferToCustody,COLLATERAL_MANAGER_ROLE,0x32Bd61608702AA0dCc7C205404B05CEa2221b3ce 0x0b241d2f1a060feae6968f7ced3221d4ab29d865,Alex Maslennikov
BNB Smart Chain,0x02bf8f0e046F471709E578b1E633077096ce65CF,AegisMinting,forceTransferToCustody,COLLATERAL_MANAGER_ROLE,0x32Bd61608702AA0dCc7C205404B05CEa2221b3ce 0x0b241d2f1a060feae6968f7ced3221d4ab29d865,Alex Maslennikov
BNB Smart Chain,0x02bf8f0e046F471709E578b1E633077096ce65CF,AegisMinting,setAegisRewardsAddress,SETTINGS_MANAGER_ROLE,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
